BASIC,pack_current,pack_inst_voltage,pack_soc,relay_state,checksum,BMS_TEMP,pack_dcl,pack_ccl,BMS_high_temp,BMS_low_temp,checksum,STRINGS,high_cell_voltage,high_cell_voltage_id,low_cell_voltage,low_cell_voltage_id,checksum,BATTERY_TEMP,cell_high_temp,high_thermistor_id,cell_low_temp,low_thermistor_id,avg_temp,internal_temp,checksum,HEALTH,pack_health,adaptive_total_capacity,input_supply_voltage,checksum,CELL,cell_id,instant_voltage,internal_resistance,open_voltage,checksum,timestamp
BASIC,-7.1000000000000005,89.3,45.0,46312,185,BMS_TEMP,180,48,27,20,204,STRINGS,3.901,14,3.7818,11,24576,BATTERY_TEMP,27,1,20,127,26,27,58368,HEALTH,100,0,12.6,27212,CELL,22,3.892,477,3.8579,0,2026-04-02 12:47:49.644516
BASIC,-7.1000000000000005,89.3,45.0,46312,185,BMS_TEMP,180,48,27,20,204,STRINGS,3.9011,14,3.7818,11,24832,BATTERY_TEMP,27,1,20,127,26,27,58368,HEALTH,100,0,12.6,27212,CELL,11,3.8904,477,3.8563,0,2026-04-02 12:47:49.787158
BASIC,-7.1000000000000005,89.3,45.0,46312,185,BMS_TEMP,180,48,27,20,204,STRINGS,3.9011,14,3.7818,11,24832,BATTERY_TEMP,27,1,20,127,26,27,58368,HEALTH,100,0,12.6,27212,CELL,14,3.8904,477,3.8562,0,2026-04-02 12:47:50.375546
BASIC,-7.1000000000000005,89.3,45.0,46312,185,BMS_TEMP,180,48,27,20,204,STRINGS,3.901,14,3.7819,11,24832,BATTERY_TEMP,27,1,20,127,26,27,58368,HEALTH,100,0,12.6,27212,CELL,10,3.7819,477,3.7477,0,2026-04-02 12:47:50.515985
BASIC,-7.1000000000000005,89.3,45.0,46312,185,BMS_TEMP,180,48,27,20,204,STRINGS,3.901,14,3.782,11,25088,BATTERY_TEMP,27,1,20,127,26,27,58368,HEALTH,100,0,12.6,27212,CELL,12,3.8886,477,3.8544,0,2026-04-02 12:47:50.657681
BASIC,-7.1000000000000005,89.3,45.0,46312,185,BMS_TEMP,180,48,27,20,204,STRINGS,3.9011,14,3.7819,11,25088,BATTERY_TEMP,27,1,20,127,26,27,58368,HEALTH,100,0,12.6,26955,CELL,15,3.8922,477,3.8578,0,2026-04-02 12:47:51.005559
BASIC,-7.1000000000000005,89.3,45.0,46312,185,BMS_TEMP,180,48,27,20,204,STRINGS,3.901,14,3.7819,11,24832,BATTERY_TEMP,27,1,20,127,26,27,58368,HEALTH,100,0,12.6,26955,CELL,4,3.8821,477,3.8478,0,2026-04-02 12:47:51.141160
BASIC,-7.1000000000000005,89.3,45.0,46312,185,BMS_TEMP,180,48,27,20,204,STRINGS,3.9012,14,3.782,11,25600,BATTERY_TEMP,27,1,20,127,26,27,58368,HEALTH,100,0,12.6,27212,CELL,17,3.8948,477,3.8605,0,2026-04-02 12:47:51.620473
BASIC,-7.1000000000000005,89.3,45.0,46312,185,BMS_TEMP,180,48,27,20,204,STRINGS,3.901,14,3.782,11,25088,BATTERY_TEMP,27,1,20,127,26,27,58368,HEALTH,100,0,12.6,27212,CELL,22,3.8922,477,3.858,0,2026-04-02 12:47:51.762187
BASIC,-7.1000000000000005,89.3,45.0,46312,185,BMS_TEMP,180,48,27,20,204,STRINGS,3.9012,14,3.7818,11,25088,BATTERY_TEMP,27,1,20,127,26,27,58368,HEALTH,100,0,12.6,27212,CELL,2,3.8815,477,3.8471,0,2026-04-02 12:47:51.908162
